sentence,episode,season,character
"To Wall Maria! I'm going to destroy every last Titan! Eren You're not being serious, are you? I'm serious! I'm not like those guys who do nothing but act tough inside the walls! I don't need this crap! Eren! You'll starve to death! Doesn't it bother you at all?! It's because we take everyone's charity that we can't beat the Titans! It's impossible! There is no beating them! All we can do is live inside the walls! If we try anything, we'll die! Just like my mom and dad! So you're just gonna grovel to them then?! That's not shameful to you?! There's There's nothing we can do for now! That's just an excuse! If you wanna live like livestock forever, go ahead! You wimp! Mikasa If Armin's a wimp, then so are we.",2,1,
"Whether it was running from the Titans or fleeing the town, we didn't manage anything on our own.",2,1,
We even had help finding food today.,2,1,
There's no way such powerless people can defeat even a single one of those Titans.,2,1,
Staying alive is what matters most.,2,1,
Just like your mother said.,2,1,
Mikasa! You have to eat and stay alive.,2,1,
I won't let you starve to death.,2,1,
"Several days later, the throngs of refugees were tasked with cultivating the wastelands to secure food.",2,1,
"However, a food shortage was unavoidable.",2,1,
"So, in the following year of 846, the central government sent a multitude of refugees on a mission in the name of retaking Wall Maria.",2,1,
"Of the 250,000 sent nearly 20% of the population not even 200 survived.",2,1,
"Although it wasn't much, their sacrifices did improve the food shortage situation for the rest of the population.",2,1,
It's all the Titans' fault.,2,1,
"If we could just subdue them, our place in the world could be ours again.",2,1,
Armin.,2,1,
I'm going to apply for the Cadets next year.,2,1,
"I'm going to gain the strength to fight the Titans! Me too Armin?! Me too! I will, too.",2,1,
Mikasa! You don't need to! You said yourself staying alive is what's important! Yes.,2,1,
That's why I'm doing it; so you won't die.,2,1,
All right.,2,1,
"The three of us, then.",2,1,
"The 104th Cadet Corps Class entrance ceremony will now begin! You have the misfortune of having me, Keith Sadies, as your commandant! I do not welcome you warmly! In your current state, you'd be nothing but food for the Titans! You're mere livestock! You're less than livestock! Over the next three years, we're going to train you worthless nothings and teach you how to fight Titans! Three years from now, when you come face-to-face with the Titans, will you still be fodder for them?! Will you serve as an honorable barrier that protects the king?! Or will you be a glorious soldier for humanity that drives the Titans out! It's up to you to decide! Yes.",2,1,
I'll be one.,2,1,
"I'll drive out every last Titan! Your dreams are where your heart is They're more fragile than life itself Over and over you cast them aside, only to find more Now, rest in peace Pounding impulses defile the things we wish for and the more we forget the more we remember again In this beautiful, cruel world all I can do is ask why we're still alive Oh, with our strength- and our weakness what are we going to protect if there's no sense to anything anymore? He fails as a soldier.",2,1,
"Eren joins the Cadets, vowing revenge against the Titans, but his failure at basic training comes as a harsh reality.",2,1,
"Unknown are the names of the flowers that have been trampled Birds have fallen to the earth and long for the wind Prayers won't solve anything Only the will to fight can change the here and now! O pigs who laugh at the resolve to walk over corpses to move forward Livestock complacency? False prosperity? Give us the freedom of dying, starving wolves! The humiliation of being caged is what triggers us to fight back We hunters slaughter prey beyond the castle walls, consumed with surging bloodlust, as our crimson bows and arrows pierce scarlet holes into the twilight Hey, you! Sir! Who the hell are you?! Armin Arlelt, from Shiganshina District! I see! That's a ridiculous name! Did your parents give it to you?! My grandfather did, Sir! Arlelt! Why are you here?! To help humanity achieve victory! That's wonderful to hear! We can feed you to the Titans! Third row, about face! Who the hell are you?! Sir! Thomas Wagner, from Trost District! I can't hear you! - Thomas Wagner - Can't hear you! - Look at them go.",3,1,
"- Go practice in a barn! You went through the same thing when you started as a cadet, didn't you? It takes me back.",3,1,
"No! You're from a pigsty! You're less than livestock! Yes, Sir! I am less than livestock! - No! - But what's all that intimidation for? It's a rite of passage.",3,1,
"We revert them to a blank slate through the use of self-denial, after which we mold them into proper soldiers.",3,1,
- Change it at once! Why are you here?! - This is one step in that process.,3,1,
"To devote myself to humankind! Fourth row, about face! There are some he's not talking to It's unnecessary for those who've already been through their rites of passage.",3,1,
They most likely witnessed the hell that took place two years ago.,3,1,
They have a different look on their faces.,3,1,
Okay.,3,1,
Let's go.,3,1,
"Who the hell are you?! Jean Kirschtein, from Trost District! Why are you here?! To join the Military Police Regiment and live in the interior! Oh.",3,1,
"You wanna live in the interior, do you? Yes! Who said you could sit?! If you can't handle this, you can forget about the Military Police! Who the hell are you?! Why are you here?! Marco Bodt of Jinae, on the south side of Wall Rose! I want to join the Military Police Regiment and give life and limb to the king! I see.",3,1,
"That's a fine goal, indeed.",3,1,
Go ahead and strive for it.,3,1,
"But, just so you know The king doesn't want your lousy life or limbs.",3,1,
"You're next! Who the hell are you?! Conny Springer! I'm from Ragako Village on the south side of Wall Rose! You have it backwards, Conny Springer! It was the first thing you were taught! This salute expresses your resolve to give your heart to the people! Is your heart on your right side?! Hey, you.",3,1,
"What do you think you're doing? I'm talking to you! Who the hell are you?! Sasha Braus from Dauper Village, on the south side of Wall Rose! Sasha Braus What is that you're holding in your right hand? A steamed potato, Sir! I found one in the cookhouse that was ready to eat, so I couldn't help myself! You stole it? Why? Why did you decide to eat it now? I felt it would be a waste to let it get cold, so I elected to eat it now.",3,1,
"No, I don't understand.",3,1,
"Why did you eat the potato? Are you asking me why people eat potatoes, Sir? Here's half of it for you.",3,1,
Half? Whoa.,3,1,
He still has Potato Girl running.,3,1,
"Man, she's been at it for five solid hours.",3,1,
She's really something.,3,1,
"Still, being told to run until she's on the verge of death didn't seem to bother her quite as much as being told she has to skip meals.",3,1,
"Dauper's a small hunting village in the mountains, isn't it? What's that? They're dropouts.",3,1,
They asked to work in the fields instead.,3,1,
Whoa.,3,1,
"It's only the first day, too That's just how it is.",3,1,
"If you can't cut it here, you have to leave.",3,1,
"I can't believe anyone would want to pick up rocks and pull plants again Come to think of it, we haven't heard anything about where you're from.",3,1,
"I'm from Shiganshina, same as him.",3,1,
Oh.,3,1,
"That means You were there that day, weren't you? H-Hey! Did you see the Colossal Titan?! Y-Yeah Yes, I saw it.",3,1,
Really?! How big is it?! Enough to look over the wall.,3,1,
"What?! I heard it stepped over the wall! Me too! That's what they said in my village too! No, it wasn't that big.",3,1,
"What did it look like?! It had a huge mouth, and almost no skin.",3,1,
"What about the Armored Titan that broke Wall Maria?! That's what people call it, but it looked like an ordinary Titan to me.",3,1,
"Th-Then, what are ordinary Titans like?! Let's spare him the questions, everyone.",3,1,
I'm sure there are things he doesn't want to remember.,3,1,
"Sorry for asking It's not like that! Titans aren't actually that big of a deal! Once we've mastered omni-directional mobility gear, they'll be nothing to us! We finally get to train as soldiers.",3,1,
"I was just overcome with emotion, that's all.",3,1,
"I'm going to join the Scout Regiment and drive the Titans out of this world! I'm gonna slaughter them! Whoa, what are you, crazy? Did you just say you're gonna join the Scout Regiment? Yeah, that's right.",3,1,
"Aren't you the one who wants to join the Military Police and live the easy life? I'm all about being honest, you see.",3,1,
"It's much nicer than being, say, a loser who acts tough but is actually scared shitless.",3,1,
"Are you talking about me?! S-Stop! Come on, now.",3,1,
It makes no difference to me.,3,1,
"Look, I'm sorry.",3,1,
I don't mean to dismiss your ideas.,3,1,
Let's be friends.,3,1,
"Yeah, I'm sorry, too.",3,1,
"H-Hey, you! Uhh, err, umm I've just never seen anyone who looks like you before S-Sorry! You have very pretty black hair.",3,1,
Thanks.,3,1,
It's no big deal.,3,1,
Get off my back.,3,1,
You never think things through when you get worked up.,3,1,
"That again? Anyway, don't you think your hair's too long? It could cause an accident during ODM training, you know.",3,1,
All right.,3,1,
I'll cut it.,3,1,
"But how short should I make it? H-Hey! Don't mess with other people's clothes! What did you wipe on me?! My trust in others Finally done This is! Bread! It's not much, but I saved it for you.",3,1,
"Oh, but You really ought to drink some water first.",3,1,
- Are you God?! - Huh?! - Are you?! - Uhh! God! Hey.,3,1,
